p Sequence ref name simbad ulli ulc uln ulo ulna ulmg ulal ulsi ulsc ulti ulv ulcr ulmn ulco ulni ulzn ulga ulge ulsr uly ulzr ulmo ulru ulrh ulpd ulba ulla ulce ulpr ulnd ulsm uleu ulgd ultb uldy ulho uler ultm ullu ulhf ulos ulir ulpt ulag ulpb ulth ulu
1 137 BAR05 HE0340-5355 2MASS J03413456-5346180 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 138 BAR05 HE0340-3430 2MASS J03420477-3420500 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 139 BAR05 HE0341-4024 2MASS J03430809-4015295 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 140 BAR05 HE0344+0139 2MASS J03471573+0149030 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 141 BAR05 HE0347-1819 2MASS J03491837-1810405 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 142 BAR05 HE0353-6024 2MASS J03535930-6015154 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 143 BAR05 HE0400-2917 2MASS J04020635-2908479 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 144 AOK07a HE0400-2030 2MASS J04021479-2021535 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 145 BAR05 HE0401-0138 2MASS J04034987-0130025 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 146 CAY04 CS22169-035 2MASS J04121388-1205050 1 * * * * * * * * * * * * * * * * * * * * * * * * * 1 1 1 1 1 1 1 * 1 1 1 * * * * * * * * * *
2 147 HON04 CS22169-035 2MASS J04121388-1205050 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 148 PRE06 CS22186-005 2MASS J04130905-3550386 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 149 RYA96 CS22186-005 2MASS J04130905-3550386 * * * * * * * * * * * * * 1 * * * * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 150 BAR05 HE0417-0821 2MASS J04193150-0814193 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 151 BAR05 CS22186-023 2MASS J04194553-3651359 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 152 LAI07 BS17585-080 2MASS J04230190+1514565 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 153 PRE06 CS22182-033 2MASS J04231047-3037041 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 154 CAY04 CS22186-025 2MASS J04243280-3709025 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * *
2 155 BAR05 CS22186-025 2MASS J04243280-3709025 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 156 BAR05 HE0430-4901 2MASS J04313114-4854416 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 157 BAR05 HE0430-4404 2MASS J04313811-4357486 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
